ProjectID;ProjectComitteeE;ProjectTitle;Agency;FiscalYear;CompetitionYear;ProgramID;Program;ProgramType;ProgramF;ProgramTypeF;PrincipalInvestigator;InterUnivColl;NofOrganization;OrganizationID;Affiliation;Organization;OrganizationGroup;OrganizationGroupF;Province;FProvince;Payment;InterUnivCollF;NofCollaborators;ID_Projet;Code_Comite;Code_Agence;Comite;FComite
CIHR80571;Cancer Progression & Therapeutics;Targeting BMP signaling in the tumor endothelium to improve cancer immunotherapy;CIHR;2021-2022;2021;1866;Project Grant - PA: Breast Cancer Research;Grant Awards;Subvention Projet - AP : Recherche sur le cancer du sein;Subventions;Larrivee, Bruno;Internal collaboration;0;113633;Université de Montréal;Centre de recherche Guy-Bernier (Montréal);Universities;Universités;Quebec;Québec;100000;Internal collaboration;2;CIHR13064;IT;CIHR;Immunology & Transplantation;GROUPES
CIHR73772;Cancer Progression & Therapeutics 2;A Phase 2 study of Trametinib for patients with pediatric glioma or plexiform neurofibroma with refractory tumor and activation of the MAPK/ERK pathwa;CIHR;2023-2024;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Perreault, Sebastien;Internal collaboration;0;2225;Université de Montréal;Hôpital Sainte-Justine;Universities;Universités;Quebec;Québec;143437;Internal collaboration;5;CIHR13573;M;CIHR;Metabolism;GROUPES
CIHR75621;Cancer Progression & Therapeutics 2;Diagnosis of Aggressive Prostate Cancer Using Key Features of Raman Spectroscopy;CIHR;2022-2023;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Trudel, Dominique;Internal collaboration;0;10577;Université de Montréal;Centre hospitalier de l`Université de Montréal;Universities;Universités;Quebec;Québec;153000;Internal collaboration;7;CIHR12644;FFO;CIHR;Facing Our Future:  Human Genetics, Ethics, Law and Society;Appareil cardiovasculaire - C
CIHR78498;Cancer Progression & Therapeutics 2;Exploiting minor histocompatibility antigens for personalized cancer immunotherapy;CIHR;2022-2023;2020;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Roy, Denis-Claude;Internal collaboration;0;2221;Université de Montréal;Hôpital Maisonneuve-Rosemont;Universities;Universités;Quebec;Québec;213435;Internal collaboration;1;CIHR1152;G;CIHR;Genetics;Recherche en collaboration avec l'industrie
CIHR73697;Cancer Progression & Therapeutics 2;Targeting translational machinery to overcome kinase inhibitor resistance of cancer cells;CIHR;2023-2024;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Hulea, Laura;Without Collaborator;0;113633;Université de Montréal;Centre de recherche Guy-Bernier (Montréal);Universities;Universités;Quebec;Québec;167237;Without Collaborator;0;CIHR11038;BSB;CIHR;Behavioural Sciences - B;Immunologie et transplantation
CIHR79824;Cardiovascular System - A: Cells and Tissues;Contribution of 17beta-estradiol in pregnancy-related cardiac arrhythmias;CIHR;2023-2024;2021;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;FISET, Céline;Without Collaborator;0;2226;Université de Montréal;Institut de cardiologie de Montréal;Universities;Universités;Quebec;Québec;168300;Without Collaborator;0;CIHR10883;HPM;CIHR;Health Policy & Systems Management Research;Recherche en interventions et en évaluation dans les services de santé - A
CIHR79954;Cardiovascular System - B: Heart and Circulation;Cardioprotective effect of a cyclic azapeptide ligand of CD36 against ischemia-reperfusion damage and dysfunction in mice;CIHR;2021-2022;2021;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Marleau, Sylvie;Internal collaboration;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;187744;Internal collaboration;3;CIHR13737;CSA;CIHR;Cardiovascular System - A: Cells and Tissues;Bourses de recherche au doctorat - A
CIHR79769;Cardiovascular System - B: Heart and Circulation;Coronary angiocrine control of heart regeneration;CIHR;2021-2022;2021;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Marin Juez, Ruben;Internal collaboration;0;2225;Université de Montréal;Hôpital Sainte-Justine;Universities;Universités;Quebec;Québec;186756;Internal collaboration;2;CIHR13178;CA;CIHR;Cancer - A;Bourses de recherche au doctorat - A
CIHR77392;Cardiovascular System - B: Heart and Circulation;Identifying the roles of atypical MAP kinases ERK3 and ERK4 in cardiac remodelling;CIHR;2023-2024;2020;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;ALLEN, Bruce G;Without Collaborator;0;2226;Université de Montréal;Institut de cardiologie de Montréal;Universities;Universités;Quebec;Québec;197370;Without Collaborator;0;CIHR1129;CSB;CIHR;Cardiovascular System - B;Appareil cardiovasculaire - B
CIHR79919;Cardiovascular System - B: Heart and Circulation;Neutrophil extracellular traps (NETs) are major actors in heart failure with preserved ejection fraction;CIHR;2022-2023;2021;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;SIROIS, Martin G;Internal collaboration;0;2226;Université de Montréal;Institut de cardiologie de Montréal;Universities;Universités;Quebec;Québec;139995;Internal collaboration;3;CIHR13828;***;CIHR;Special Cases;Virologie et pathogenèse virale
