division,group,class,subclass,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10302 Subatomic physics,"RDF1030207 Particle physics theory (including aspects of field theory and string theory)",,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10302 Subatomic physics,RDF1030208 High-energy astrophysics and cosmic rays,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10302 Subatomic physics,RDF1030209 Weak interactions of elementary particles,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10302 Subatomic physics,RDF1030210 Intermediate subatomic energy reactions,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10302 Subatomic physics,"RDF1030299 Subatomic physics, n.e.c.",,,
RDF10 Natural sciences,RDF103 Physical sciences,"RDF10303 Atomic, molecular, and optical physics",,,,
RDF10 Natural sciences,RDF103 Physical sciences,"RDF10303 Atomic, molecular, and optical physics",RDF1030301 Atomic and molecular physics,,,
RDF10 Natural sciences,RDF103 Physical sciences,"RDF10303 Atomic, molecular, and optical physics",RDF1030302 Classical and physical optics,,,
RDF10 Natural sciences,RDF103 Physical sciences,"RDF10303 Atomic, molecular, and optical physics",RDF1030303 Lasers and quantum electronics,,,
RDF10 Natural sciences,RDF103 Physical sciences,"RDF10303 Atomic, molecular, and optical physics",RDF1030304 Nonlinear optics and spectroscopy,,,
RDF10 Natural sciences,RDF103 Physical sciences,"RDF10303 Atomic, molecular, and optical physics",RDF1030305 Atomic and molecular spectroscopy,,,
RDF10 Natural sciences,RDF103 Physical sciences,"RDF10303 Atomic, molecular, and optical physics","RDF1030306 Photonics, optoelectronics and optical communications",,,
RDF10 Natural sciences,RDF103 Physical sciences,"RDF10303 Atomic, molecular, and optical physics","RDF1030307 Plasma physics, fusion plasmas, and electrical discharges",,,
RDF10 Natural sciences,RDF103 Physical sciences,"RDF10303 Atomic, molecular, and optical physics",RDF1030308 Quantum optics,,,
RDF10 Natural sciences,RDF103 Physical sciences,"RDF10303 Atomic, molecular, and optical physics","RDF1030399 Atomic, molecular, and optical physics, n.e.c.",,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10304 Classical physics,,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10304 Classical physics,RDF1030401 Acoustics and acoustical devices and waves,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10304 Classical physics,RDF1030402 Electrostatics and electrodynamics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10304 Classical physics,RDF1030403 Fluid physics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10304 Classical physics,RDF1030404 Thermodynamics and statistical physics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10304 Classical physics,"RDF1030499 Classical physics, n.e.c.",,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10305 Condensed matter physics,,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10305 Condensed matter physics,RDF1030501 Condensed matter characterization technique development,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10305 Condensed matter physics,RDF1030502 Condensed matter experiments,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10305 Condensed matter physics,RDF1030503 Condensed matter modelling and density functional theory,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10305 Condensed matter physics,RDF1030504 Electronic and magnetic properties of condensed matter and supraconductivity,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10305 Condensed matter physics,RDF1030505 Soft condensed matter,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10305 Condensed matter physics,RDF1030506 Surfaces and structural properties of condensed matter,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10305 Condensed matter physics,RDF1030507 Superconductivity,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10305 Condensed matter physics,RDF1030508 Semiconductors,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10305 Condensed matter physics,RDF1030509 Low-temperature physics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10305 Condensed matter physics,RDF1030510 Mesoscopic physics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10305 Condensed matter physics,"RDF1030599 Condensed matter physics, n.e.c.",,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10306 Quantum physics,,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10306 Quantum physics,RDF1030601 Degenerate quantum gases,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10306 Quantum physics,RDF1030602 Matter waves,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10306 Quantum physics,RDF1030603 General relativity and gravitational waves in quantum physics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10306 Quantum physics,"RDF1030604 Quantum information, computation and communication",,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10306 Quantum physics,RDF1030605 Foundation of quantum physics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10306 Quantum physics,RDF1030606 Quantum technologies,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10306 Quantum physics,RDF1030607 Statistical mechanics in quantum physics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10306 Quantum physics,"RDF1030699 Quantum physics, n.e.c.",,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10399 Other physical sciences,,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10399 Other physical sciences,RDF1039901 Complex physical systems,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10399 Other physical sciences,RDF1039902 Medical physics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10399 Other physical sciences,RDF1039903 Instrumentation in physics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10399 Other physical sciences,"RDF1039999 Other physical sciences, n.e.c.",,,
RDF10 Natural sciences,RDF104 Chemical sciences,,,,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10401 Analytical chemistry,,,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10401 Analytical chemistry,RDF1040101 Analytical spectrometry,,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10401 Analytical chemistry,RDF1040102 Electroanalytical chemistry,,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10401 Analytical chemistry,RDF1040103 Flow analysis in chemistry,,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10401 Analytical chemistry,RDF1040104 Immunological and bioassay methods,,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10401 Analytical chemistry,"RDF1040105 Instrumental methods (except immunological and bioassay methods)",,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10401 Analytical chemistry,"RDF1040106 Sensor technology (chemical aspects)",,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10401 Analytical chemistry,RDF1040107 Separation science,,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10401 Analytical chemistry,"RDF1040108 Environmental chemistry (except atmospheric chemistry)",,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10401 Analytical chemistry,"RDF1040199 Analytical chemistry, n.e.c.",,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10402 Inorganic chemistry,,,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10402 Inorganic chemistry,RDF1040201 Bioinorganic chemistry,,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10402 Inorganic chemistry,RDF1040202 F-Block chemistry,,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10402 Inorganic chemistry,RDF1040203 Inorganic green chemistry,,,
RDF10 Natural sciences,RDF104 Chemical sciences,RDF10402 Inorganic chemistry,RDF1040204 Main group metal chemistry,,,
